City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,weno,7.4515,151.8468,28.97,79,100,3.6,FM,1748465736
152,pleiku,13.9833,108.0,20.85,97,100,0.47,VN,1748465737
153,mount gambier,-37.8333,140.7667,8.83,93,1,2.1,AU,1748465738
154,mana,5.6592,-53.7767,25.87,90,81,4.09,GF,1748465739
155,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,6.69,EC,1748465741
156,sur,22.5667,59.5289,31.85,42,42,4.46,OM,1748465742
157,al jabin,14.704,43.599,25.71,49,47,1.53,YE,1748465743
158,grants,35.1473,-107.8514,27.13,6,0,1.54,US,1748465744
159,pontal do parana,-25.6533,-48.5128,13.97,100,75,9.77,BR,1748465745
160,castillos,-34.1667,-53.8333,10.13,62,23,6.05,UY,1748465747
161,san julian,21.0167,-102.1667,27.26,28,100,1.3,MX,1748465748
162,dwarka,22.2394,68.9678,28.99,77,100,4.83,IN,1748465749
163,kinablangan,7.6947,126.5503,24.05,87,100,2.23,PH,1748465750
164,vadso,70.0744,29.7487,12.09,66,75,6.69,NO,1748465751
165,nagqu,31.5,92.0,8.91,48,99,5.4,CN,1748465752
166,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,61,0,3.0,RU,1748465753
167,diu,20.7141,70.9822,28.72,80,100,6.1,IN,1748465754
168,aykhal,66.0,111.5,-0.2,97,100,3.19,RU,1748465756
169,samfya,-11.3649,29.5565,18.42,71,34,3.05,ZM,1748465757
170,mejit,10.2753,170.8646,27.84,82,100,8.77,MH,1748465759
171,tambopata,-12.7333,-69.1833,31.94,70,40,1.03,PE,1748465760
172,revda,56.801,59.9303,12.98,79,28,2.13,RU,1748465761
173,remire-montjoly,4.9167,-52.2667,26.02,89,75,2.06,GF,1748465762
174,iqaluit,63.7506,-68.5145,-0.15,80,20,2.06,CA,1748465763
175,thompson,55.7435,-97.8558,25.09,38,100,4.12,CA,1748465764
176,zeya,53.75,127.2667,20.15,60,99,2.13,RU,1748465765
177,berdigestyakh,62.0989,126.6992,14.56,64,36,5.14,RU,1748465767
178,catumbela,-12.4314,13.5472,24.04,75,0,0.83,AO,1748465768
179,jinchang,38.4953,102.1739,16.07,23,100,3.42,CN,1748465769
180,bodo,67.28,14.405,9.14,90,75,2.57,NO,1748465770
181,ilulissat,69.2167,-51.1,5.01,65,92,4.12,GL,1748465771
182,ponta delgada,37.7333,-25.6667,19.4,82,20,4.12,PT,1748465772
183,merizo village,13.2658,144.6691,26.66,93,99,2.33,GU,1748465773
184,ladwa,29.9944,77.0444,29.28,61,0,3.11,IN,1748465774
185,belo sur tsiribihina,-19.7,44.55,20.13,89,0,2.08,MG,1748465775
186,jonuta,18.0833,-92.1333,39.11,29,100,4.53,MX,1748465777
187,pueblo,38.2545,-104.6091,25.83,35,100,5.08,US,1748465695
188,pelabuhanratu,-6.9875,106.5514,25.55,90,88,1.91,ID,1748465780
189,illizi,26.4833,8.4667,30.12,14,1,7.42,DZ,1748465781
190,tsiombe,-25.3,45.4833,18.98,93,0,2.19,MG,1748465783
191,ikalamavony,-21.15,46.5833,15.48,86,24,2.61,MG,1748465784
192,puerto deseado,-47.7503,-65.8938,7.58,61,71,3.18,AR,1748465785
193,chui,-33.6971,-53.4616,10.92,63,79,7.11,UY,1748465786
194,kolonia,50.9333,6.95,15.36,81,40,4.12,DE,1748465723
195,andreapol',56.6513,32.2664,15.79,75,76,3.97,RU,1748465789
196,nuuk,64.1835,-51.7216,1.34,93,100,2.57,GL,1748465791
197,tura,25.5198,90.2201,24.23,94,99,1.97,IN,1748465792
198,saint-pierre,-21.3393,55.4781,22.82,73,75,7.2,RE,1748465793
199,vilyuysk,63.7553,121.6247,13.62,84,93,3.47,RU,1748465794
200,lebu,-37.6167,-73.65,10.73,68,100,9.85,CL,1748465795
201,bodaybo,57.8506,114.1933,2.85,100,100,2.34,RU,1748465796
202,howrah,22.5892,88.3103,27.0,89,75,6.69,IN,1748465797
203,badger,64.8,-147.5333,16.67,48,75,1.54,US,1748465798
204,kaihua,23.3687,104.28,16.66,98,100,2.28,CN,1748465799
205,pithoro,25.5167,69.3833,31.8,62,43,8.3,PK,1748465800
206,kingston,17.997,-76.7936,32.88,70,40,10.8,JM,1748465801
207,dunblane,56.1884,-3.9642,12.83,76,100,1.95,GB,1748465802
208,gadzhiyevo,69.2551,33.3362,10.77,76,100,4.51,RU,1748465803
209,lebyazh'ye,55.2689,66.4947,16.55,81,47,3.08,RU,1748465804
210,baoqing,46.3317,132.2111,18.85,72,5,2.55,CN,1748465806
211,conde,-7.2597,-34.9075,25.7,94,20,2.06,BR,1748465807
212,marquette,46.5333,-87.6335,18.98,44,82,1.34,US,1748465808
213,tarauaca,-8.1614,-70.7656,28.92,72,57,0.82,BR,1748465809
214,thunder bay,48.4001,-89.3168,24.95,22,20,5.14,CA,1748465810
215,banda aceh,5.5577,95.3222,27.54,70,82,5.87,ID,1748465811
216,port alfred,-33.5906,26.891,21.44,51,0,5.46,ZA,1748465812
217,negapatam,10.7667,79.8333,29.43,60,100,5.57,IN,1748465813
218,antalaha,-14.9003,50.2788,22.29,84,9,3.21,MG,1748465814
219,happy valley-goose bay,53.3168,-60.3315,13.17,50,100,4.12,CA,1748465815
220,alice springs,-23.7,133.8833,8.75,100,100,3.6,AU,1748465816
221,udachny,66.4167,112.4,0.89,99,100,4.04,RU,1748465817
222,kuragino,53.8975,92.6725,1.82,97,100,5.82,RU,1748465818
